Home team,Away team,Home score,Away score,Home odds,Draw odds,Away odds
Stormers,Rebels,34,18,1.19,32.13,4.69
Hurricanes,Sunwolves,43,15,1,56.67,31.58
Brumbies,Jaguares,20,25,1.41,22.9,2.97
Sharks,Stormers,24,17,1.65,21.67,2.3
Bulls,Rebels,28,10,1.18,32.03,4.84
Reds,Chiefs,12,36,5.17,30.77,1.17
Crusaders,Sunwolves,33,11,1.01,60.67,26.33
Waratahs,Lions,0,29,1.81,21.16,2.05
Blues,Highlanders,16,34,3.27,24.63,1.35
Sharks,Bulls,10,40,1.4,22.84,3.07
Waratahs,Reds,37,16,1.27,25.85,3.9
Highlanders,Brumbies,43,17,1.09,44.04,7.03
Rebels,Jaguares,22,25,1.22,30.89,4.4
Sunwolves,Blues,10,24,6.96,44.31,1.09
Hurricanes,Chiefs,25,13,1.28,26.72,3.7
Jaguares,Crusaders,14,40,5.13,32.59,1.17
Lions,Stormers,52,31,1.38,25.16,3.19
Brumbies,Reds,45,21,1.56,21.26,2.53
Chiefs,Blues,21,19,1.28,25.77,3.85
Sunwolves,Waratahs,29,50,6.53,35.38,1.12
Hurricanes,Sharks,38,37,1.05,48.26,9.77
Lions,Crusaders,8,14,3,24.67,1.41
Bulls,Stormers,33,23,2.11,22.24,1.78
Brumbies,Waratahs,17,24,2.04,20.23,1.84
Blues,Sharks,40,63,1.18,29.93,4.95
Rebels,Hurricanes,19,50,4.39,28.41,1.22
Chiefs,Highlanders,27,22,1.78,21.68,2.1
Jaguares,Lions,49,35,3.05,26.65,1.4
Stormers,Reds,25,19,1.2,31.31,4.72
Hurricanes,Highlanders,29,12,1.45,22.68,2.92
Sunwolves,Chiefs,10,61,8.9,57.29,1.06
Rebels,Sharks,46,14,1.48,23.39,2.76
Crusaders,Bulls,33,14,1.06,44.92,9.38
Waratahs,Rebels,51,27,1.72,21.57,2.2
Jaguares,Reds,7,18,1.28,24.35,3.8
Lions,Sunwolves,40,38,1.01,52.25,22.09
Stormers,Blues,37,20,2.41,21.04,1.62
Brumbies,Sharks,24,17,2.07,20,1.82
Highlanders,Crusaders,25,17,1.69,20.07,2.26
Chiefs,Bulls,41,28,1.1,35.84,7.29
Jaguares,Waratahs,38,28,2.22,21.8,1.71
Lions,Blues,35,38,1.24,27.47,4.3
Sharks,Sunwolves,50,22,1.02,53.92,13.14
Reds,Bulls,20,14,1.71,20.76,2.23
Hurricanes,Crusaders,29,19,1.7,20.76,2.25
Rebels,Brumbies,33,10,1.62,21.43,2.42
Highlanders,Stormers,33,15,1.11,38.22,6.78
Jaguares,Hurricanes,9,34,5.44,31.98,1.16
Bulls,Lions,35,49,3.28,24.98,1.36
Sharks,Waratahs,24,24,1.31,24.05,3.62
Crusaders,Stormers,45,28,1.08,40.74,7.76
Sunwolves,Rebels,17,37,3.09,24.9,1.4
Reds,Brumbies,18,10,2.92,23.06,1.44
Blues,Chiefs,21,27,1.6,21.82,2.44
Bulls,Hurricanes,21,19,5.85,31.18,1.14
Lions,Jaguares,47,27,1.11,34.29,6.72
Waratahs,Stormers,34,27,1.44,23.54,2.91
Crusaders,Chiefs,45,23,1.31,23.74,3.61
Sunwolves,Brumbies,25,32,6.87,33.68,1.11
Rebels,Reds,45,19,1.43,23.91,2.91
Highlanders,Blues,41,34,1.35,23.67,3.33
Lions,Sharks,26,19,1.31,25.09,3.63
Stormers,Jaguares,28,20,1.33,25.37,3.4
Lions,Crusaders,17,25,2.03,21.46,1.85
Lions,Hurricanes,44,29,2.43,23.98,1.58
Crusaders,Chiefs,27,13,1.26,25.1,3.9
Stormers,Chiefs,11,17,2.37,22.76,1.62
Lions,Sharks,23,21,1.11,34.38,6.71
Crusaders,Highlanders,17,0,1.39,21.56,3.1
Brumbies,Hurricanes,16,35,5.6,29.56,1.15
Sharks,Lions,10,27,4.23,27.21,1.23
Bulls,Stormers,33,41,2.49,23.41,1.56
Force,Waratahs,40,11,1.94,21.09,1.9
Hurricanes,Crusaders,31,22,1.66,21.71,2.28
Chiefs,Brumbies,28,10,1.06,41.11,8.34
Sunwolves,Blues,48,21,15.52,49.58,1.02
Kings,Cheetahs,20,21,1.54,23.39,2.52
Rebels,Jaguares,29,32,2.84,26.2,1.43
Highlanders,Reds,40,17,1.04,48.96,9.91
Stormers,Sunwolves,52,15,1.01,57.07,19.98
Bulls,Kings,30,31,1.26,27.66,3.94
Waratahs,Jaguares,27,40,1.19,27.84,4.8
Force,Rebels,31,22,1.31,25.74,3.48
Reds,Brumbies,16,15,3.21,24.15,1.36
Lions,Sunwolves,94,7,1.01,47.19,20.74
Cheetahs,Stormers,34,40,2.93,24.18,1.42
Jaguares,Kings,30,31,1.21,28.37,4.48
Sharks,Bulls,17,30,1.22,27.33,4.33
Hurricanes,Chiefs,14,17,1.33,24.44,3.45
Force,Hurricanes,12,34,8.82,41.53,1.06
Brumbies,Rebels,32,3,1.11,33.66,6.56
Chiefs,Waratahs,46,31,1.11,34.65,6.33
Crusaders,Highlanders,25,22,1.36,24.53,3.21
Blues,Reds,34,29,1.13,32.46,5.83
Lions,Kings,54,10,1.03,53.84,11.83
Jaguares,Brumbies,15,39,1.57,21.87,2.46
Sharks,Stormers,22,10,1.77,21.57,2.11
Bulls,Hurricanes,20,34,7.39,39,1.08
Rebels,Crusaders,19,41,11.25,49.57,1.03
Highlanders,Waratahs,44,28,1.09,37.1,7.01
Sunwolves,Cheetahs,7,47,2.12,22.4,1.75
Reds,Force,26,40,1.33,25.69,3.36
Blues,Chiefs,16,16,2.67,22.64,1.5
Waratahs,Rebels,50,23,1.15,31.27,5.44
Kings,Brumbies,10,19,2.66,23,1.49
Lions,Bulls,51,14,1.12,33.2,6.24
Sunwolves,Sharks,17,38,4.59,29.77,1.2
Force,Highlanders,6,55,4.78,27.69,1.19
Hurricanes,Cheetahs,61,7,1.02,55.33,13.7
Stormers,Blues,30,22,1.95,22.85,1.89
Chiefs,Crusaders,24,31,2.21,22.56,1.7
Jaguares,Force,6,16,1.13,32.84,5.88
Kings,Sharks,35,32,4.85,30.31,1.18
Bulls,Highlanders,10,17,4.92,27.91,1.18
Rebels,Reds,24,29,2.42,22.56,1.59
Crusaders,Hurricanes,20,12,1.85,22.07,2
Brumbies,Lions,6,13,2.41,22.09,1.6
Blues,Cheetahs,50,32,1.07,42.42,8.24
Jaguares,Sunwolves,46,39,1.04,47.25,9.82
Bulls,Crusaders,24,62,4.65,29.24,1.19
Sharks,Force,37,12,1.13,32.58,5.82
Waratahs,Blues,33,40,2.83,23.1,1.45
Chiefs,Reds,46,17,1.05,44.33,10.13
Rebels,Lions,10,47,5.64,30.82,1.14
Cheetahs,Highlanders,41,45,5.58,30.66,1.14
Hurricanes,Stormers,41,22,1.03,53.37,11.14
Brumbies,Blues,12,18,2.43,21.89,1.58
Jaguares,Sharks,25,33,1.32,23.64,3.45
Kings,Rebels,44,3,2.09,21.61,1.77
Cheetahs,Crusaders,21,48,5.87,34.48,1.12
Force,Lions,15,24,4.25,25.68,1.23
Reds,Waratahs,26,29,1.76,20.73,2.11
Chiefs,Sunwolves,27,20,1.01,59,21.71
Highlanders,Stormers,57,14,1.19,28.43,4.86
Sharks,Rebels,9,9,1.1,33.98,7.03
Bulls,Cheetahs,20,14,1.36,24.28,3.22
